使用者編號,學校代碼,年級,班級,國語成績,數學成績,英語成績,練習次數,練習平均正確率,練習總秒數,影片瀏覽次數,影片觀看總秒數,影片平均完成率,倒轉次數,快轉次數,筆記次數,暫停次數,單字遊戲次數,數學遊戲次數,測驗作答次數,測驗總秒數,綜合平臺活動數,總活動量,參與度分組
242347,1377,6,2,96.0,96.0,76.0,16,65.6,170,23,2871,42.3,13,0,0,71,0,0,113,2327,0,152,Q2 中低
88384,2284,5,1,,92.0,,0,,0,0,0,,0,0,0,0,0,0,0,0,172,172,Q2 中低
65352,2284,5,2,56.0,64.0,68.0,23,73.9,84305,11,2105,59.1,3,0,0,30,0,0,0,0,270,304,Q3 中高
52418,1377,6,3,84.0,44.0,92.0,5,90.0,118,17,4190,80.6,13,8,0,91,0,0,506,10995,0,528,Q4 高
163235,1377,6,3,80.0,72.0,80.0,1,50.0,30,21,3178,53.0,12,12,0,878,0,0,203,3925,0,225,Q2 中低
89055,2284,2,2,,100.0,,106,62.3,2352,15,3739,72.6,21,0,35,94,0,0,0,0,0,121,Q2 中低
60833,2284,5,2,80.0,76.0,68.0,107,66.8,5122,50,16003,62.4,21,21,2,193,0,0,0,0,429,586,Q4 高
237057,1377,6,2,72.0,44.0,64.0,14,64.3,174,19,3108,64.6,29,4,0,134,0,0,461,8882,0,494,Q4 高
78703,1377,3,3,88.0,76.0,,42,61.9,788,20,3968,86.2,16,10,0,101,0,0,350,9750,0,412,Q3 中高
76260,2284,6,4,,,88.0,0,,0,0,0,,0,0,0,0,0,0,0,0,416,416,Q3 中高
94098,2284,2,2,82.0,80.0,,55,55.1,1076,41,7430,71.3,24,2,7,142,0,0,0,0,0,96,Q1 低
116958,2284,6,1,80.0,,,12,91.7,10996,1,260,100.0,0,0,0,7,0,0,175,8175,44,232,Q2 中低
90284,2284,2,3,76.0,84.0,,103,60.2,5858,68,15025,95.9,19,10,0,89,0,0,0,0,0,171,Q2 中低
126435,1377,6,3,88.0,80.0,96.0,15,66.7,1102,32,6539,73.2,24,15,1,237,0,0,160,3150,2,209,Q2 中低
75616,2284,6,1,48.0,32.0,40.0,0,,0,0,0,,0,0,0,0,0,0,110,5320,161,271,Q3 中高
165940,2284,5,3,,,76.0,5,50.0,246,0,0,,0,0,0,0,0,0,0,0,680,685,Q4 高
29075,1377,5,1,80.0,88.0,80.0,38,78.9,557,20,3771,63.8,10,0,0,52,0,0,184,4313,37,279,Q3 中高
2663,2284,3,2,,80.0,,30,70.0,1139,77,13837,43.7,21,0,0,183,0,0,0,0,1140,1247,Q4 高
239474,2284,3,1,80.0,76.0,,106,64.6,2509,7,1898,86.4,0,0,0,3,0,0,0,0,212,325,Q3 中高
175867,2284,6,1,84.0,80.0,,17,70.6,463,0,0,,0,0,0,0,60,2,530,12040,244,853,Q4 高
