使用者編號,學校代碼,年級,班級,國語成績,數學成績,英語成績,練習次數,練習平均正確率,練習總秒數,影片瀏覽次數,影片觀看總秒數,影片平均完成率,倒轉次數,快轉次數,筆記次數,暫停次數,單字遊戲次數,數學遊戲次數,測驗作答次數,測驗總秒數,綜合平臺活動數,總活動量,參與度分組
93867,2284,2,1,52.0,84.0,,11,63.6,348,11,2150,67.1,10,0,0,25,0,0,0,0,0,22,Q1 低
164256,1377,6,3,68.0,64.0,64.0,14,53.6,150,13,2728,70.1,3,3,0,39,0,0,302,5983,0,329,Q3 中高
70359,2284,5,3,76.0,88.0,60.0,76,74.3,4948,6,2620,79.7,0,0,0,130,0,0,0,0,21,103,Q1 低
229016,2284,3,3,,60.0,,0,,0,1,185,47.0,0,0,0,2,0,0,0,0,236,237,Q2 中低
251092,2284,3,3,,84.0,,0,,0,1,1,0.0,0,0,0,1,0,0,0,0,573,574,Q4 高
70502,2284,5,3,92.0,76.0,,68,50.7,6911,8,4783,77.9,1,3,0,30,0,0,0,0,272,348,Q3 中高
130064,2284,4,3,,,76.0,0,,0,0,0,,0,0,0,0,0,0,0,0,135,135,Q2 中低
75072,2284,6,1,60.0,60.0,60.0,0,,0,0,0,,0,0,0,0,0,0,275,7330,16,291,Q3 中高
177942,2284,5,2,,,84.0,21,85.7,3838,7,2106,65.3,2,0,0,12,0,0,0,0,212,240,Q2 中低
80753,2284,6,3,,72.0,36.0,0,,0,0,0,,0,0,0,0,0,0,0,0,276,276,Q3 中高
80291,2284,5,3,,76.0,88.0,45,66.7,1059,0,0,,0,0,0,0,0,0,0,0,519,564,Q4 高
89352,2284,2,2,,92.0,,40,88.8,4480,14,5093,94.0,14,2,2,68,0,0,0,0,0,54,Q1 低
98589,2284,4,1,,80.0,,22,67.5,453,1,31,14.0,0,0,0,4,0,0,0,0,79,102,Q1 低
141726,2284,6,1,,72.0,,0,,0,3,295,38.0,2,0,0,5,10,0,320,9550,245,578,Q4 高
27845,1377,5,1,96.0,84.0,92.0,18,61.1,190,21,4320,63.7,6,4,0,50,0,0,70,2505,0,109,Q1 低
122013,2284,4,1,,92.0,84.0,21,59.5,543,0,0,,0,0,0,0,0,0,0,0,13,34,Q1 低
98492,2284,4,2,,88.0,,1,100.0,21,3,697,70.0,0,0,0,8,0,0,0,0,51,55,Q1 低
51787,1377,6,3,92.0,84.0,76.0,18,77.8,251,45,8308,73.0,15,19,0,150,0,0,105,3955,0,168,Q2 中低
76036,2284,6,2,,56.0,28.0,0,,0,0,0,,0,0,0,0,0,0,0,0,17,17,Q1 低
239005,1377,6,2,92.0,76.0,60.0,27,63.0,360,28,6396,79.7,31,0,0,224,0,0,255,4799,33,343,Q3 中高
180313,1377,6,1,96.0,92.0,88.0,13,76.9,288,42,8467,73.8,17,6,0,299,0,0,638,14768,497,1190,Q4 高
75936,2284,6,2,,88.0,68.0,0,,0,0,0,,0,0,0,0,0,0,90,3605,8,98,Q1 低
147132,2284,6,3,,92.0,,0,,0,0,0,,0,0,0,0,0,0,25,450,164,189,Q2 中低
75170,2284,6,2,64.0,52.0,40.0,0,,0,0,0,,0,0,0,0,0,0,10,630,249,259,Q2 中低
75725,2284,6,1,,,68.0,11,63.6,140,0,0,,0,0,0,0,0,0,100,3995,68,179,Q2 中低
75493,2284,6,3,56.0,40.0,32.0,25,64.0,691,0,0,,0,0,0,0,0,0,0,0,593,618,Q4 高
189828,2284,2,1,,88.0,,7,92.9,1896,7,2738,86.9,1,0,0,9,0,0,0,0,0,14,Q1 低
2784,2284,3,3,,72.0,,0,,0,0,0,,0,0,0,0,0,0,0,0,234,234,Q2 中低
124902,2284,6,1,,76.0,,2,100.0,437,0,0,,0,0,0,0,0,0,0,0,149,151,Q2 中低
52398,1377,6,2,52.0,76.0,60.0,3,66.7,82,12,1126,29.7,4,0,0,296,0,0,5,85,162,182,Q2 中低
80289,2284,5,4,,88.0,,68,68.4,91456,12,4138,64.2,10,0,0,38,0,0,0,0,488,568,Q4 高
84244,2284,6,3,76.0,60.0,60.0,8,62.5,478,0,0,,0,0,0,0,40,0,55,2250,119,222,Q2 中低
51515,1377,6,3,80.0,48.0,80.0,12,79.2,122,22,4040,74.3,8,0,0,85,0,0,0,0,0,34,Q1 低
52814,1377,6,3,88.0,76.0,96.0,27,61.1,837,36,6983,78.6,21,18,0,217,0,0,270,5990,10,343,Q3 中高
86469,2284,5,1,,84.0,96.0,0,,0,0,0,,0,0,0,0,0,0,0,0,323,323,Q3 中高
252831,2284,3,1,,96.0,,31,77.4,1195,5,815,70.2,0,0,0,10,0,0,0,0,164,200,Q2 中低
93898,2284,2,1,,92.0,,36,59.7,741,15,5686,93.9,10,0,0,34,0,0,0,0,0,51,Q1 低
93753,2284,2,1,52.0,64.0,,17,64.7,678,16,2678,68.3,6,0,0,130,0,0,0,0,0,33,Q1 低
230106,2284,3,1,82.0,,,13,73.1,419,1,25,7.0,0,0,0,1,0,0,0,0,513,527,Q4 高
2068,2284,3,4,,84.0,,42,54.8,851,3,376,35.0,0,0,0,8,0,0,0,0,454,499,Q4 高
121630,2284,6,3,,84.0,,20,80.0,556,0,0,,0,0,0,0,0,11,0,0,326,357,Q3 中高
94149,2284,2,1,78.0,88.0,,28,66.1,965,32,7104,66.3,5,0,0,75,0,0,0,0,0,60,Q1 低
230963,2284,3,3,80.0,,,0,,0,0,0,,0,0,0,0,0,0,0,0,70,70,Q1 低
229503,2284,3,1,,80.0,,22,84.1,1716,23,5108,93.8,1,0,0,17,0,0,0,0,588,633,Q4 高
93669,2284,2,1,96.0,96.0,,32,60.9,798,22,6679,80.1,4,3,0,49,0,0,0,0,0,54,Q1 低
80095,2284,6,3,76.0,80.0,48.0,17,67.6,403,0,0,,0,0,0,0,10,0,50,930,661,738,Q4 高
14047,1377,5,2,88.0,92.0,72.0,25,68.0,714,12,2374,65.2,1,0,0,71,0,0,122,2014,0,159,Q2 中低
170622,1377,6,1,80.0,48.0,84.0,10,70.0,728,42,6176,66.7,13,2,0,231,0,0,399,8943,0,451,Q3 中高
94092,2284,2,1,76.0,84.0,,34,68.4,2282,20,5458,85.6,7,0,0,37,0,0,0,0,0,54,Q1 低
170743,1377,6,1,52.0,68.0,60.0,25,56.0,511,30,5006,67.1,26,0,0,231,0,0,541,9879,0,596,Q4 高
252023,2284,3,2,,76.0,,11,72.7,1030,15,4027,83.0,2,0,0,36,0,0,0,0,206,232,Q2 中低
98330,2284,4,4,,92.0,,0,,0,0,0,,0,0,0,0,0,0,0,0,500,500,Q4 高
87196,2284,5,1,,72.0,,0,,0,0,0,,0,0,0,0,0,0,0,0,307,307,Q3 中高
93778,2284,2,2,,80.0,,24,66.7,611,18,5000,66.7,23,1,1,74,0,0,0,0,0,42,Q1 低
51943,1377,6,3,76.0,68.0,44.0,9,72.2,171,22,2814,67.3,6,4,0,84,0,0,530,14175,0,561,Q4 高
147021,2284,6,3,,64.0,,0,,0,0,0,,0,0,0,0,40,0,35,1265,400,475,Q4 高
14940,1377,5,2,96.0,80.0,96.0,16,81.2,199,24,3339,59.8,3,0,0,569,0,0,269,6015,1,310,Q3 中高
169038,1377,2,1,98.0,96.0,,0,,0,2,767,100.0,0,0,0,5,0,0,0,0,0,2,Q1 低
169177,1377,6,1,92.0,76.0,96.0,31,69.4,1307,40,8881,77.2,13,7,1,214,0,0,319,13585,0,390,Q3 中高
75777,1377,5,3,96.0,88.0,96.0,2,25.0,20,10,1603,61.4,4,0,0,27,0,0,496,13940,0,508,Q4 高
72784,2284,5,3,,76.0,84.0,3,50.0,137,1,2,0.0,0,0,0,1,0,0,0,0,87,91,Q1 低
183928,2284,4,1,,,88.0,16,81.2,578,5,273,46.2,0,0,0,6,0,0,0,0,326,347,Q3 中高
168571,1377,2,1,92.0,88.0,,0,,0,1,383,100.0,0,0,0,3,0,0,0,0,0,1,Q1 低
87645,2284,5,2,,72.0,76.0,17,76.5,691,4,2105,100.0,2,1,0,16,0,0,0,0,61,82,Q1 低
170839,1377,6,1,92.0,80.0,96.0,12,91.7,274,35,6623,72.6,52,5,0,301,0,0,316,15215,0,363,Q3 中高
73324,2284,4,1,,,88.0,4,87.5,134,0,0,,0,0,0,0,0,0,0,0,51,55,Q1 低
78205,1377,3,4,84.0,92.0,,29,60.3,603862,17,3333,73.8,1,0,0,76,0,0,653,13067,0,699,Q4 高
75497,2284,5,4,,80.0,80.0,9,50.0,35445,4,1100,75.2,1,0,0,11,0,0,0,0,252,265,Q3 中高
60374,2284,6,1,44.0,32.0,68.0,15,66.7,170,1,22,7.0,0,0,0,2,0,0,340,6120,38,394,Q3 中高
75112,1377,5,3,92.0,80.0,76.0,4,75.0,102,11,1694,62.8,2,0,0,54,0,0,387,8581,0,402,Q3 中高
240765,1377,6,2,88.0,72.0,88.0,8,68.8,289,18,4033,75.3,13,10,0,135,0,0,110,4500,0,136,Q2 中低
76666,2284,6,2,,,84.0,0,,0,0,0,,0,0,0,0,30,0,195,10050,38,263,Q3 中高
86372,2284,5,2,,88.0,,26,78.8,1400,10,2092,67.4,9,5,4,48,10,0,0,0,106,152,Q2 中低
78872,1377,5,3,96.0,88.0,88.0,16,62.5,269,12,2600,70.8,0,0,0,48,0,0,283,8775,32,343,Q3 中高
212842,2284,6,4,,72.0,,0,,0,0,0,,0,0,0,0,0,0,0,0,235,235,Q2 中低
29231,1377,5,1,88.0,68.0,84.0,12,79.2,267,19,3739,68.9,2,0,0,57,0,0,105,5170,0,136,Q2 中低
75069,1377,5,3,96.0,76.0,88.0,11,59.1,129,8,1262,82.5,16,0,0,72,0,0,659,14793,0,678,Q4 高
80086,2284,6,4,80.0,64.0,56.0,0,,0,0,0,,0,0,0,0,0,0,0,0,16,16,Q1 低
184409,2284,4,4,,,92.0,0,,0,0,0,,0,0,0,0,0,0,0,0,351,351,Q3 中高
79251,1377,5,3,96.0,80.0,92.0,0,,0,5,1000,68.0,0,0,0,26,0,0,444,5861,119,568,Q4 高
121691,2284,6,2,,72.0,,0,,0,0,0,,0,0,0,0,0,0,0,0,17,17,Q1 低
241568,1377,6,2,88.0,80.0,92.0,26,69.2,352,37,7016,76.6,21,38,0,197,0,0,187,5059,0,250,Q2 中低
34771,1377,5,1,56.0,76.0,72.0,32,67.2,871530,28,5237,73.9,2,4,0,87,0,0,200,4390,0,260,Q2 中低
72823,2284,4,3,52.0,,92.0,8,81.2,174,0,0,,0,0,0,0,0,0,0,0,194,202,Q2 中低
52983,1377,6,3,92.0,60.0,96.0,24,72.9,377,30,5445,56.5,3,0,0,125,0,0,253,6743,0,307,Q3 中高
26970,1377,5,1,84.0,72.0,68.0,24,56.2,445,32,4813,54.0,30,0,0,233,0,0,10,3285,114,180,Q2 中低
13107,1377,5,2,92.0,80.0,88.0,16,50.0,276,20,2877,68.9,2,0,0,37,0,0,85,5570,84,205,Q2 中低
146871,2284,6,3,60.0,68.0,,0,,0,0,0,,0,0,0,0,0,23,0,0,151,174,Q2 中低
178311,2284,5,4,,,84.0,8,75.0,476,5,341,51.2,0,0,1,5,0,0,0,0,26,39,Q1 低
70332,2284,5,1,52.0,40.0,48.0,0,,0,1,11,4.0,0,0,0,2,80,9,0,0,540,630,Q4 高
70065,2284,4,2,48.0,56.0,48.0,3,33.3,193,3,970,100.0,0,0,0,1,0,0,0,0,39,45,Q1 低
88399,2284,4,3,,88.0,72.0,0,,0,0,0,,0,0,0,0,0,4,0,0,318,322,Q3 中高
75060,2284,6,1,,68.0,64.0,0,,0,0,0,,0,0,0,0,0,0,140,5340,265,405,Q3 中高
80909,1377,5,3,92.0,80.0,84.0,2,50.0,44,6,1080,50.5,0,0,0,23,0,0,65,3550,0,73,Q1 低
51408,1377,6,3,88.0,80.0,96.0,29,79.3,3169,35,7740,78.0,12,14,0,161,0,0,313,12794,0,377,Q3 中高
140228,2284,6,1,,68.0,,15,80.0,1982,3,314,69.3,0,0,0,12,80,0,325,4660,111,534,Q4 高
79913,2284,6,4,,,60.0,0,,0,0,0,,0,0,0,0,0,0,20,440,330,350,Q3 中高
75413,1377,3,1,88.0,80.0,,31,69.4,1975,28,4254,69.9,9,1,0,69,0,0,527,18564,0,586,Q4 高
88836,2284,2,2,,92.0,,76,65.1,2712,18,4961,74.3,3,0,1,43,0,0,0,0,0,94,Q1 低
75257,2284,6,2,68.0,44.0,52.0,0,,0,1,14,5.0,0,0,0,2,0,0,0,0,428,429,Q3 中高
70334,2284,4,2,52.0,,50.0,9,44.4,279,6,1702,76.3,0,0,0,5,0,0,0,0,35,50,Q1 低
75484,2284,5,3,,52.0,84.0,22,70.5,881,0,0,,0,0,0,0,60,1,0,0,339,422,Q3 中高
231,2284,3,1,56.0,60.0,,24,43.8,1651,0,0,,0,0,0,0,0,0,0,0,111,135,Q2 中低
180502,1377,6,1,100.0,92.0,100.0,38,78.9,864,38,6977,70.5,23,3,0,256,0,0,295,10538,0,371,Q3 中高
80745,2284,6,3,84.0,76.0,68.0,8,56.2,108,0,0,,0,0,0,0,0,0,0,0,76,84,Q1 低
242894,1377,6,2,92.0,100.0,100.0,26,71.2,547,33,7263,75.7,15,0,0,207,0,0,131,5356,0,190,Q2 中低
6792,1377,5,2,88.0,80.0,96.0,36,56.9,420,48,11116,78.6,8,2,0,150,0,0,956,22392,0,1040,Q4 高
93668,2284,2,1,,100.0,,9,61.1,86561,14,3790,85.2,1,0,0,13,0,0,0,0,0,23,Q1 低
122334,2284,6,4,,88.0,,0,,0,0,0,,0,0,0,0,0,0,0,0,42,42,Q1 低
