類型,名稱,科目,嘗試次數,錯誤次數,正確率
能力指標,文章[二]/段落結構2,國語文108,48,24,50.0
能力指標,文體[一]/應用文,國語文108,2,0,100.0
能力指標,文體[一]/故事,國語文108,8,4,50.0
能力指標,文體[一]/記敘文,國語文108,4,2,50.0
能力指標,"日常生活-Make a wish -eat, walk, sleep, drink, run",英語108,4,2,50.0
能力指標,"日常生活-What are you doing? I am _______. (brushing, washing, making, reading, eating)",英語108,6,2,66.7
能力指標,"日常生活/動物-Things animals like to do -eat, sleep, drink, jump, run;  rabbit, koala, elephant, horse, dog, pig, cat, cheetah",英語108,2,0,100.0
能力指標,時間-What time is it? Part 1,英語108,6,2,66.7
能力指標,時間-What time is it? Part 2,英語108,4,2,50.0
能力指標,智慧闖關的第一步,資訊教育,54,9,83.3
能力指標,更完美的闖關製作與其他簡報軟體設定,資訊教育,58,19,67.2
能力指標,段落[二]/段意故事,國語文108,10,4,60.0
能力指標,段落[二]/段意記敘,國語文108,4,1,75.0
能力指標,段落[二]/段意詩歌,國語文108,4,1,75.0
能力指標,段落[二]/段旨故事,國語文108,58,20,65.5
能力指標,段落[二]/段旨記敘,國語文108,18,4,77.8
能力指標,段落[二]/段落訊息故事,國語文108,50,12,76.0
能力指標,段落[二]/段落訊息記敘,國語文108,10,2,80.0
能力指標,比較100以內兩個量的多少。,數學108,8,2,75.0
能力指標,水對天氣變化的影響,自然108,2,0,100.0
能力指標,消失的老鼠,資訊教育,76,22,71.1
能力指標,"物品 -From Dirty to Tidy -desk, chair, blackboard, window, door",英語108,2,0,100.0
能力指標,"物品-What's in the classroom? -window, desk, door, blackboard, chair",英語108,4,0,100.0
能力指標,"玩具-Is this/that a ________? -robot, yo-yo, kite, doll, ball",英語108,2,0,100.0
能力指標,"玩具-Mr.Dale's toy garage -top, doll, robot, yo-yo, ball",英語108,2,0,100.0
能力指標,"玩具-What a Mess! -robot, doll, yo-yo, ball",英語108,4,1,75.0
能力指標,理解三角形的三內角和為180度。,數學108,4,1,75.0
能力指標,理解三角形面積的求法，進而形成計算公式。,數學108,6,2,66.7
能力指標,理解擴分的意義，並利用擴分找出某個分數的等值分數。,數學108,42,13,69.0
能力指標,理解梯形面積的求法，進而形成計算公式。,數學108,6,3,50.0
能力指標,理解約分的意義，並利用約分找出某個分數的等值分數。,數學108,20,7,65.0
能力指標,用直式做一位小數乘以一位整數的乘法，並解決日常生活中的問題。,數學108,8,5,37.5
能力指標,用直式做二位小數乘以一位整數的乘法，並解決日常生活中的問題。,數學108,10,3,70.0
能力指標,用直式做二位小數乘以二位整數，並解決日常生活中的問題。,數學108,8,4,50.0
能力指標,用直式做二位小數的加法計算，並解決日常生活中的問題。,數學108,24,11,54.2
能力指標,用直式做二位小數的減法計算，並解決日常生活中的問題。,數學108,12,4,66.7
能力指標,用邊長辨認正三角形和等腰三角形。,數學108,8,3,62.5
能力指標,略過投影片與投影播放,資訊教育,52,14,73.1
能力指標,畫出等腰三角形、正三角形和直角三角形。,數學108,26,5,80.8
能力指標,登入電子信箱郵件,資訊教育,28,7,75.0
能力指標,看信和回信,資訊教育,24,5,79.2
能力指標,知道0~100以內的數詞序列。,數學108,2,0,100.0
能力指標,知道1元、5元、10元、50元、100元、500元、1000元錢幣的相互關係。,數學108,2,0,100.0
能力指標,知道鐘面上長短針及刻度的意義。,數學108,28,10,64.3
能力指標,"算數-Number (one, two, three, four, five, six)",英語108,2,0,100.0
能力指標,"算數-The Very Hungry Monkey (thirteen, fourteen, fifteen, sixteen, eighteen, nineteen)",英語108,2,0,100.0
能力指標,"算術/購物/食物-Buying Snacks for a Field Trip (ten, twenty, thirty, forty, fifty)",英語108,2,0,100.0
能力指標,管理聯絡人與寄送郵件,資訊教育,12,3,75.0
能力指標,節慶 -Tomb Sweeping Day,英語108,4,1,75.0
能力指標,篇章[二]/篇意詩歌,國語文108,5,2,60.0
能力指標,篇章[二]/篇章訊息記敘,國語文108,42,26,38.1
能力指標,簡報圖片配色與圖層概念,資訊教育,32,15,53.1
能力指標,簡報投影片轉換,資訊教育,18,7,61.1
