siteid,sitename,itemid,itemname,itemengname,itemunit,monitormonth,concentration
70,永和,38,相對濕度,RH,%,202603,82
70,永和,33,細懸浮微粒,PM2.5,μg/m3,202603,14.8
70,永和,31,甲烷,CH4,ppm,202603,2.09
70,永和,14,溫度,AMB_TEMP,℃,202603,20
70,永和,10,風速,WIND_SPEED,m/sec,202603,1.4
70,永和,9,非甲烷碳氫化合物,NMHC,ppm,202603,0.09
70,永和,8,總碳氫化物,THC,ppm,202603,2.19
70,永和,7,二氧化氮,NO2,ppb,202603,14
70,永和,6,一氧化氮,NO,ppb,202603,5.1
70,永和,5,氮氧化物,NOx,ppb,202603,19.1
70,永和,4,懸浮微粒,PM10,μg/m3,202603,28
70,永和,3,臭氧,O3,ppb,202603,33
70,永和,2,一氧化碳,CO,ppm,202603,0.45
70,永和,1,二氧化硫,SO2,ppb,202603,1.1
69,竹山,143,小時風速值,WS_HR,m/sec,202603,1
69,竹山,38,相對濕度,RH,%,202603,79
69,竹山,33,細懸浮微粒,PM2.5,μg/m3,202603,22
69,竹山,31,甲烷,CH4,ppm,202603,2.09
69,竹山,14,溫度,AMB_TEMP,℃,202603,21.1
69,竹山,10,風速,WIND_SPEED,m/sec,202603,1.3
69,竹山,9,非甲烷碳氫化合物,NMHC,ppm,202603,0.06
69,竹山,8,總碳氫化物,THC,ppm,202603,2.16
69,竹山,7,二氧化氮,NO2,ppb,202603,9
69,竹山,6,一氧化氮,NO,ppb,202603,1
69,竹山,5,氮氧化物,NOx,ppb,202603,10.7
69,竹山,4,懸浮微粒,PM10,μg/m3,202603,40
69,竹山,3,臭氧,O3,ppb,202603,33
69,竹山,2,一氧化碳,CO,ppm,202603,0.26
69,竹山,1,二氧化硫,SO2,ppb,202603,1.5
68,中壢,143,小時風速值,WS_HR,m/sec,202603,0.2
68,中壢,38,相對濕度,RH,%,202603,79
68,中壢,33,細懸浮微粒,PM2.5,μg/m3,202603,18.3
68,中壢,31,甲烷,CH4,ppm,202603,2.14
68,中壢,14,溫度,AMB_TEMP,℃,202603,19.1
68,中壢,10,風速,WIND_SPEED,m/sec,202603,0.6
68,中壢,9,非甲烷碳氫化合物,NMHC,ppm,202603,0.15
68,中壢,8,總碳氫化物,THC,ppm,202603,2.29
68,中壢,7,二氧化氮,NO2,ppb,202603,21
68,中壢,6,一氧化氮,NO,ppb,202603,11.9
68,中壢,5,氮氧化物,NOx,ppb,202603,33.2
68,中壢,4,懸浮微粒,PM10,μg/m3,202603,34
68,中壢,3,臭氧,O3,ppb,202603,26
68,中壢,2,一氧化碳,CO,ppm,202603,0.54
68,中壢,1,二氧化硫,SO2,ppb,202603,0.9
67,三重,38,相對濕度,RH,%,202603,75
67,三重,33,細懸浮微粒,PM2.5,μg/m3,202603,15.7
67,三重,31,甲烷,CH4,ppm,202603,2.22
67,三重,14,溫度,AMB_TEMP,℃,202603,20.5
67,三重,9,非甲烷碳氫化合物,NMHC,ppm,202603,0.19
67,三重,8,總碳氫化物,THC,ppm,202603,2.42
67,三重,7,二氧化氮,NO2,ppb,202603,31
67,三重,6,一氧化氮,NO,ppb,202603,32.2
67,三重,5,氮氧化物,NOx,ppb,202603,63.2
67,三重,4,懸浮微粒,PM10,μg/m3,202603,31
67,三重,3,臭氧,O3,ppb,202603,18
67,三重,2,一氧化碳,CO,ppm,202603,0.73
67,三重,1,二氧化硫,SO2,ppb,202603,1.2
66,冬山,143,小時風速值,WS_HR,m/sec,202603,1.2
66,冬山,38,相對濕度,RH,%,202603,80
66,冬山,33,細懸浮微粒,PM2.5,μg/m3,202603,11.2
66,冬山,14,溫度,AMB_TEMP,℃,202603,20.2
66,冬山,10,風速,WIND_SPEED,m/sec,202603,1.4
66,冬山,7,二氧化氮,NO2,ppb,202603,4
66,冬山,6,一氧化氮,NO,ppb,202603,1.1
66,冬山,5,氮氧化物,NOx,ppb,202603,6.1
66,冬山,4,懸浮微粒,PM10,μg/m3,202603,21
66,冬山,3,臭氧,O3,ppb,202603,36
66,冬山,2,一氧化碳,CO,ppm,202603,0.21
66,冬山,1,二氧化硫,SO2,ppb,202603,0.6
65,宜蘭,143,小時風速值,WS_HR,m/sec,202603,0.9
65,宜蘭,38,相對濕度,RH,%,202603,78
65,宜蘭,33,細懸浮微粒,PM2.5,μg/m3,202603,9.3
65,宜蘭,31,甲烷,CH4,ppm,202603,2.02
65,宜蘭,14,溫度,AMB_TEMP,℃,202603,20.5
65,宜蘭,10,風速,WIND_SPEED,m/sec,202603,1.2
65,宜蘭,9,非甲烷碳氫化合物,NMHC,ppm,202603,0.02
65,宜蘭,8,總碳氫化物,THC,ppm,202603,2.06
65,宜蘭,7,二氧化氮,NO2,ppb,202603,4
65,宜蘭,6,一氧化氮,NO,ppb,202603,0.7
65,宜蘭,5,氮氧化物,NOx,ppb,202603,5.1
65,宜蘭,4,懸浮微粒,PM10,μg/m3,202603,17
65,宜蘭,3,臭氧,O3,ppb,202603,36
65,宜蘭,2,一氧化碳,CO,ppm,202603,0.21
65,宜蘭,1,二氧化硫,SO2,ppb,202603,0.7
64,陽明,38,相對濕度,RH,%,202603,94
64,陽明,33,細懸浮微粒,PM2.5,μg/m3,202603,6.9
64,陽明,14,溫度,AMB_TEMP,℃,202603,13.8
64,陽明,10,風速,WIND_SPEED,m/sec,202603,2.4
64,陽明,7,二氧化氮,NO2,ppb,202603,1
64,陽明,6,一氧化氮,NO,ppb,202603,0.5
64,陽明,5,氮氧化物,NOx,ppb,202603,2.4
64,陽明,4,懸浮微粒,PM10,μg/m3,202603,15
64,陽明,3,臭氧,O3,ppb,202603,47
64,陽明,2,一氧化碳,CO,ppm,202603,0.2
64,陽明,1,二氧化硫,SO2,ppb,202603,1.3
63,花蓮,143,小時風速值,WS_HR,m/sec,202603,1.3
63,花蓮,38,相對濕度,RH,%,202603,78
63,花蓮,33,細懸浮微粒,PM2.5,μg/m3,202603,8.3
63,花蓮,31,甲烷,CH4,ppm,202603,2
63,花蓮,14,溫度,AMB_TEMP,℃,202603,21.4
63,花蓮,10,風速,WIND_SPEED,m/sec,202603,1.6
63,花蓮,9,非甲烷碳氫化合物,NMHC,ppm,202603,0.02
63,花蓮,8,總碳氫化物,THC,ppm,202603,2.04
63,花蓮,7,二氧化氮,NO2,ppb,202603,4
63,花蓮,6,一氧化氮,NO,ppb,202603,0.7
63,花蓮,5,氮氧化物,NOx,ppb,202603,5.1
63,花蓮,4,懸浮微粒,PM10,μg/m3,202603,17
63,花蓮,3,臭氧,O3,ppb,202603,36
63,花蓮,2,一氧化碳,CO,ppm,202603,0.24
63,花蓮,1,二氧化硫,SO2,ppb,202603,1.1
62,臺東,143,小時風速值,WS_HR,m/sec,202603,1.4
62,臺東,38,相對濕度,RH,%,202603,73
62,臺東,33,細懸浮微粒,PM2.5,μg/m3,202603,9.1
62,臺東,31,甲烷,CH4,ppm,202603,2
62,臺東,14,溫度,AMB_TEMP,℃,202603,22.4
62,臺東,10,風速,WIND_SPEED,m/sec,202603,1.8
62,臺東,9,非甲烷碳氫化合物,NMHC,ppm,202603,0.02
62,臺東,8,總碳氫化物,THC,ppm,202603,2.04
62,臺東,7,二氧化氮,NO2,ppb,202603,3
62,臺東,6,一氧化氮,NO,ppb,202603,1
62,臺東,5,氮氧化物,NOx,ppb,202603,4.4
62,臺東,4,懸浮微粒,PM10,μg/m3,202603,18
62,臺東,3,臭氧,O3,ppb,202603,38
62,臺東,2,一氧化碳,CO,ppm,202603,0.2
62,臺東,1,二氧化硫,SO2,ppb,202603,0.8
61,恆春,143,小時風速值,WS_HR,m/sec,202603,4.8
61,恆春,38,相對濕度,RH,%,202603,76
61,恆春,33,細懸浮微粒,PM2.5,μg/m3,202603,7.5
61,恆春,14,溫度,AMB_TEMP,℃,202603,23.2
61,恆春,10,風速,WIND_SPEED,m/sec,202603,5
61,恆春,7,二氧化氮,NO2,ppb,202603,1
61,恆春,6,一氧化氮,NO,ppb,202603,0.8
61,恆春,5,氮氧化物,NOx,ppb,202603,1.9
61,恆春,4,懸浮微粒,PM10,μg/m3,202603,14
61,恆春,3,臭氧,O3,ppb,202603,44
61,恆春,2,一氧化碳,CO,ppm,202603,0.15
61,恆春,1,二氧化硫,SO2,ppb,202603,0.6
60,潮州,143,小時風速值,WS_HR,m/sec,202603,1.5
60,潮州,38,相對濕度,RH,%,202603,73
60,潮州,33,細懸浮微粒,PM2.5,μg/m3,202603,19.5
60,潮州,31,甲烷,CH4,ppm,202603,2.14
60,潮州,14,溫度,AMB_TEMP,℃,202603,23.6
60,潮州,10,風速,WIND_SPEED,m/sec,202603,1.7
60,潮州,9,非甲烷碳氫化合物,NMHC,ppm,202603,0.03
60,潮州,8,總碳氫化物,THC,ppm,202603,2.18
60,潮州,7,二氧化氮,NO2,ppb,202603,7
60,潮州,6,一氧化氮,NO,ppb,202603,1.2
60,潮州,5,氮氧化物,NOx,ppb,202603,8.8
60,潮州,4,懸浮微粒,PM10,μg/m3,202603,42
60,潮州,3,臭氧,O3,ppb,202603,35
60,潮州,2,一氧化碳,CO,ppm,202603,0.26
60,潮州,1,二氧化硫,SO2,ppb,202603,0.9
59,屏東,143,小時風速值,WS_HR,m/sec,202603,1.3
59,屏東,38,相對濕度,RH,%,202603,66
59,屏東,33,細懸浮微粒,PM2.5,μg/m3,202603,21.2
59,屏東,31,甲烷,CH4,ppm,202603,2.22
59,屏東,14,溫度,AMB_TEMP,℃,202603,23.8
59,屏東,10,風速,WIND_SPEED,m/sec,202603,1.6
59,屏東,9,非甲烷碳氫化合物,NMHC,ppm,202603,0.03
59,屏東,8,總碳氫化物,THC,ppm,202603,2.25
59,屏東,7,二氧化氮,NO2,ppb,202603,9
59,屏東,6,一氧化氮,NO,ppb,202603,1.1
59,屏東,5,氮氧化物,NOx,ppb,202603,10.5
59,屏東,4,懸浮微粒,PM10,μg/m3,202603,43
59,屏東,3,臭氧,O3,ppb,202603,38
59,屏東,2,一氧化碳,CO,ppm,202603,0.28
59,屏東,1,二氧化硫,SO2,ppb,202603,1.2
58,小港,143,小時風速值,WS_HR,m/sec,202603,1.6
58,小港,38,相對濕度,RH,%,202603,68
58,小港,33,細懸浮微粒,PM2.5,μg/m3,202603,22.5
58,小港,31,甲烷,CH4,ppm,202603,2.11
58,小港,14,溫度,AMB_TEMP,℃,202603,23.9
58,小港,10,風速,WIND_SPEED,m/sec,202603,2
58,小港,9,非甲烷碳氫化合物,NMHC,ppm,202603,0.09
58,小港,8,總碳氫化物,THC,ppm,202603,2.21
58,小港,7,二氧化氮,NO2,ppb,202603,15
58,小港,6,一氧化氮,NO,ppb,202603,2.4
58,小港,5,氮氧化物,NOx,ppb,202603,18.2
58,小港,4,懸浮微粒,PM10,μg/m3,202603,45
58,小港,3,臭氧,O3,ppb,202603,33
58,小港,2,一氧化碳,CO,ppm,202603,0.32
58,小港,1,二氧化硫,SO2,ppb,202603,1.7
57,前鎮,143,小時風速值,WS_HR,m/sec,202603,1.6
57,前鎮,38,相對濕度,RH,%,202603,68
57,前鎮,33,細懸浮微粒,PM2.5,μg/m3,202603,19.3
57,前鎮,31,甲烷,CH4,ppm,202603,2
57,前鎮,14,溫度,AMB_TEMP,℃,202603,23.6
57,前鎮,10,風速,WIND_SPEED,m/sec,202603,1.9
57,前鎮,9,非甲烷碳氫化合物,NMHC,ppm,202603,0.1
57,前鎮,8,總碳氫化物,THC,ppm,202603,2.12
57,前鎮,7,二氧化氮,NO2,ppb,202603,13
57,前鎮,6,一氧化氮,NO,ppb,202603,2.2
57,前鎮,5,氮氧化物,NOx,ppb,202603,15.5
57,前鎮,4,懸浮微粒,PM10,μg/m3,202603,42
57,前鎮,3,臭氧,O3,ppb,202603,35
57,前鎮,2,一氧化碳,CO,ppm,202603,0.35
57,前鎮,1,二氧化硫,SO2,ppb,202603,1.4
56,前金,143,小時風速值,WS_HR,m/sec,202603,2.8
56,前金,38,相對濕度,RH,%,202603,70
56,前金,33,細懸浮微粒,PM2.5,μg/m3,202603,19.9
56,前金,14,溫度,AMB_TEMP,℃,202603,23.4
56,前金,10,風速,WIND_SPEED,m/sec,202603,3.1
56,前金,7,二氧化氮,NO2,ppb,202603,12
56,前金,6,一氧化氮,NO,ppb,202603,1.3
56,前金,5,氮氧化物,NOx,ppb,202603,13.9
56,前金,4,懸浮微粒,PM10,μg/m3,202603,45
56,前金,3,臭氧,O3,ppb,202603,37
56,前金,2,一氧化碳,CO,ppm,202603,0.31
56,前金,1,二氧化硫,SO2,ppb,202603,1
54,左營,143,小時風速值,WS_HR,m/sec,202603,2.1
54,左營,38,相對濕度,RH,%,202603,69
54,左營,33,細懸浮微粒,PM2.5,μg/m3,202603,20.2
54,左營,31,甲烷,CH4,ppm,202603,2.06
